Name,LinkType,HullIndexFirst,HullIndexSecond,Destructible,DestructionDelay,EffectMultiplierKill,EffectMultiplierDestroy,EffectsMaskKill,EffectsMaskDestroy,Fitness
Orion-baseline,0,0,1,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,0,2,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,2,3,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,0,4,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,4,5,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,0,6,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,6,7,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,0,8,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,8,9,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,0,10,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,10,11,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,3,0,12,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,12,13,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,12,14,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,13,15,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,14,16,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,15,17,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,16,18,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,3,0,19,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,19,20,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,0,20,21,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,0,21,22,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,3,0,23,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,24,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,0,24,25,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,0,25,26,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,3,0,27,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,27,28,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,0,28,29,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,0,29,30,1,0.0,1.0,1.0,00000000000000000000000000000100,00000000000000000000000000000000,1
Orion-baseline,0,19,31,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,21,32,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,33,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,25,34,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,27,35,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,29,36,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,37,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,38,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,39,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,40,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,41,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,23,42,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,25,43,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,25,44,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,25,45,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,25,46,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,25,47,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,25,48,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,27,49,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,27,50,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,28,51,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,28,52,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,49,53,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,50,54,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,51,55,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Orion-baseline,0,52,56,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
